,common_word,count
0,husserl,1367
1,ideen,961
2,phenomenology,880
3,husserls,836
4,world,728
5,consciousness,688
6,sense,542
7,experience,526
8,phenomenological,474
9,transcendental,460
10,way,418
11,life,411
12,philosophy,386
13,rst,377
14,does,347
15,attitude,325
16,natural,323
17,given,321
18,things,311
19,und,307
20,object,293
21,nature,287
22,time,287
23,objects,279
24,ed,270
25,ibid,254
26,la,254
27,present,252
28,hua,249
29,new,248
30,ection,243
31,ii,233
32,body,228
33,ego,226
34,pure,224
35,knowledge,222
36,trans,217
37,der,216
38,reduction,215
39,question,211
40,different,207
41,sciences,207
42,work,202
43,university,200
44,thought,193
45,fact,192
46,human,192
47,second,192
48,die,188
49,meaning,188
50,point,188
51,iii,186
52,like,185
53,form,183
54,eidetic,182
55,just,182
56,structure,180
57,translation,179
58,perception,175
59,science,174
60,heidegger,172
61,essence,168
62,possible,165
63,sartre,165
64,thing,165
65,example,163
66,analysis,162
67,constitution,162
68,past,157
69,problem,154
70,kind,152
71,edmund,151
72,acts,149
73,order,149
74,fundamental,147
75,terms,146
76,trust,146
77,person,145
78,phnomenologie,144
79,press,144
80,book,142
81,material,141
82,theoretical,141
83,means,139
84,cation,138
85,intuition,138
86,thinking,137
87,living,136
88,philosophical,136
89,reason,136
90,hand,135
91,real,135
92,absolute,134
93,say,134
94,general,133
95,subjectivity,133
96,act,132
97,concept,132
98,existence,130
99,view,130
100,essential,129
101,ideas,129
102,subject,126
103,idea,125
104,later,124
105,epoch,123
106,relation,123
107,case,122
108,physical,122
109,precisely,121
110,account,120
111,signi,118
112,make,117
113,nijhoff,117
114,ontology,117
115,et,116
116,certain,115
117,particular,115
118,philosophie,115
119,published,115
120,chapter,113
121,merleauponty,113
122,levinas,112
123,clauss,111
124,experiences,110
125,paris,110
126,possibility,110
127,reality,110
128,theory,110
129,words,110
130,husserlian,109
131,ontological,109
132,ortega,109
133,text,109
134,according,108
135,course,108
136,introduction,108
137,makes,108
138,works,107
139,paci,106
140,space,106
141,historical,105
142,lived,105
143,evidence,104
144,level,104
145,personal,104
146,understood,104
147,basis,103
148,race,103
149,reading,103
150,speci,103
151,understanding,103
152,essences,102
153,idealism,102
154,method,102
155,distinction,100
156,english,100
157,important,100
158,individual,100
159,martinus,100
160,history,99
161,said,99
162,dordrecht,98
163,spiritual,98
164,true,97
165,matter,96
166,empathy,95
167,writes,95
168,critical,94
169,husserliana,94
170,intentional,94
171,hague,93
172,mental,92
173,derrida,91
174,essay,91
175,place,91
176,marginal,90
177,ones,90
178,gurwitsch,88
179,studies,88
180,universal,88
181,difference,87
182,expression,87
183,following,87
184,come,86
185,fink,86
186,concepts,85
187,nd,85
188,perceptual,85
189,research,85
190,noema,84
191,original,84
192,appears,83
193,moment,83
194,think,83
195,awareness,82
196,eld,82
197,psychology,82
198,description,81
199,language,81
200,turn,81
201,appear,80
202,critique,80
203,manner,80
204,scienti,80
205,truth,80
206,conscious,79
207,schutz,79
208,thesis,79
209,intentionality,78
210,necessary,78
211,untersuchungen,78
212,called,77
213,krisis,77
214,merely,77
215,says,77
216,stein,77
217,years,77
218,actually,76
219,basic,76
220,deleuze,76
221,persons,76
222,able,75
223,claim,75
224,claims,75
225,givenness,75
226,presence,75
227,process,75
228,vol,75
229,beauvoir,74
230,future,74
231,mundane,74
232,really,74
233,term,74
234,theme,74
235,early,73
236,especially,73
237,know,73
238,logische,73
239,read,73
240,social,73
241,autistic,72
242,cf,72
243,character,72
244,edition,72
245,lifeworld,72
246,phenomenon,72
247,use,72
248,appearance,71
249,aware,71
250,memory,71
251,seen,71
