,common_word,count
0,sense,535
1,consciousness,521
2,world,511
3,priori,336
4,existent,279
5,transcendental,274
6,husserl,272
7,experience,271
8,object,264
9,pp,241
10,way,240
11,ego,224
12,phenomenology,220
13,does,219
14,objects,201
15,given,194
16,philosophy,188
17,possible,186
18,problem,185
19,idea,183
20,science,183
21,constituted,182
22,unity,181
23,things,179
24,ibid,172
25,knowledge,172
26,question,169
27,concept,157
28,intentional,156
29,fact,154
30,time,154
31,nature,153
32,constitution,140
33,individual,138
34,ej,133
35,husser,133
36,objective,133
37,essence,132
38,thing,132
39,life,131
40,concepts,130
41,means,130
42,form,126
43,evidence,125
44,husserls,124
45,possibility,121
46,phenomenological,119
47,present,118
48,subjectivity,118
49,historical,117
50,thinking,116
51,acts,115
52,natural,115
53,perception,114
54,thought,113
55,relation,110
56,fundamental,104
57,human,99
58,understood,99
59,pure,98
60,ideas,97
61,intuition,94
62,lifeworld,94
63,act,93
64,order,93
65,absolute,92
66,universal,92
67,phenomenon,91
68,subject,91
69,usserl,90
70,cogitationes,89
71,general,89
72,horizon,89
73,eidetic,87
74,point,87
75,theory,86
76,attitude,85
77,say,84
78,theme,84
79,original,83
80,subjectity,83
81,domain,82
82,subjective,82
83,understanding,79
84,example,78
85,particular,78
86,philosophical,78
87,distinction,77
88,history,77
89,different,75
90,essential,75
91,place,75
92,true,75
93,constituting,74
94,necessary,74
95,new,74
96,sciences,73
97,able,72
98,accomplishments,71
99,formal,71
100,material,71
101,social,71
102,truth,71
103,intentionality,70
104,basis,69
105,structure,69
106,appears,68
107,case,68
108,concerning,68
109,correlation,67
110,mode,67
111,prior,67
112,inquiry,66
113,merely,66
114,operative,66
115,method,65
116,precisely,65
117,called,64
118,cognition,64
119,conscious,64
120,makes,64
121,man,64
122,originary,64
123,sphere,64
124,transcendence,64
125,determined,62
126,activity,61
127,reflection,61
128,simply,61
129,subjects,61
130,landgrebe,60
131,reason,60
132,eidos,58
133,forms,58
134,founded,58
135,hand,58
136,takes,58
137,thematic,58
138,according,57
139,interpretation,57
140,origin,57
141,result,56
142,connection,55
143,essentially,55
144,ground,55
145,judgement,55
146,remains,55
147,taken,55
148,ii,54
149,real,54
150,regions,54
151,certain,53
152,crisis,53
153,flux,53
154,shows,53
155,work,53
156,modes,52
157,accomplishment,51
158,body,51
159,having,51
160,logic,51
161,manner,51
162,phenomena,51
163,pregiven,51
164,reduction,51
165,constitutive,50
166,fink,50
167,living,50
168,translation,50
169,spirit,49
170,actual,48
171,analysis,48
172,appearance,48
173,cf,48
174,evidences,48
175,experiences,48
176,just,48
177,known,48
178,memory,48
179,unities,48
180,determination,47
181,foundation,47
182,knowing,47
183,significance,47
184,society,47
185,specific,47
186,und,47
187,appearing,46
188,beginning,46
189,cogitatio,46
190,determinations,46
191,lies,46
192,mundane,45
193,simple,45
194,certainly,44
195,character,44
196,functioning,44
197,mental,44
198,moment,44
199,speak,44
200,come,43
201,comes,43
202,existence,43
203,logical,43
204,respect,43
205,said,43
206,temporal,43
207,text,43
208,understand,43
209,concrete,42
210,conditions,42
211,entities,42
212,evident,42
213,husserlian,42
214,process,42
215,scientific,42
216,der,41
217,make,41
218,psychic,41
219,purely,41
220,totality,41
221,actually,40
222,attempt,40
223,empirical,40
224,formed,40
225,grasp,40
226,habitualities,40
227,light,40
228,meant,40
229,possibilities,40
230,primal,40
231,type,40
232,belongs,39
233,extent,39
234,following,39
235,formulation,39
236,ideal,39
237,presented,39
238,seen,39
239,ftl,38
240,passivity,38
241,appear,37
242,completely,37
243,ff,37
244,longer,37
245,methodological,37
246,necessarily,37
247,related,37
248,study,37
249,valid,37
250,view,37
251,cogito,36
252,development,36
253,mean,36
254,senses,36
255,field,35
256,let,35
257,past,35
258,physical,35
259,positive,35
260,presentation,35
261,regard,35
262,region,35
263,remain,35
264,seeing,35
265,substrate,35
266,types,35
267,word,35
268,apprehension,34
269,common,34
270,determinate,34
271,essences,34
272,far,34
273,function,34
274,givenness,34
